"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"860Z200US11704","ZCTA5 11704","40706","1838",
"860Z200US11705","ZCTA5 11705","8284","789",
"860Z200US11706","ZCTA5 11706","68976","2690",
"860Z200US11709","ZCTA5 11709","6744","27",
"860Z200US11710","ZCTA5 11710","34834","2224",
"860Z200US11713","ZCTA5 11713","9218","862",
"860Z200US11714","ZCTA5 11714","22695","1827",
"860Z200US11715","ZCTA5 11715","3936","572",
"860Z200US11716","ZCTA5 11716","9659","994",
"860Z200US11718","ZCTA5 11718","3179","29",
"860Z200US11719","ZCTA5 11719","3235","488",
"860Z200US11720","ZCTA5 11720","29292","1988",
"860Z200US11721","ZCTA5 11721","6426","705",
"860Z200US11722","ZCTA5 11722","39033","2623",
"860Z200US11724","ZCTA5 11724","3073","425",
"860Z200US11725","ZCTA5 11725","29073","1609",
"860Z200US11726","ZCTA5 11726","21455","2097",
"860Z200US11727","ZCTA5 11727","28495","1811",
"860Z200US11729","ZCTA5 11729","27231","1650",
"860Z200US11730","ZCTA5 11730","14247","1185",
"860Z200US11731","ZCTA5 11731","29999","1808",
"860Z200US11732","ZCTA5 11732","3228","433",
"860Z200US11733","ZCTA5 11733","17752","1198",
"860Z200US11735","ZCTA5 11735","32028","1400",
"860Z200US11738","ZCTA5 11738","18877","2120",
"860Z200US11739","ZCTA5 11739","1225","239",
"860Z200US11740","ZCTA5 11740","10127","834",
"860Z200US11741","ZCTA5 11741","26667","1583",
"860Z200US11742","ZCTA5 11742","13202","1015",
"860Z200US11743","ZCTA5 11743","43490","1976",
"860Z200US11746","ZCTA5 11746","65747","2113",
"860Z200US11747","ZCTA5 11747","20513","1753",
"860Z200US11749","ZCTA5 11749","3600","22",
"860Z200US11751","ZCTA5 11751","13726","953",
"860Z200US11752","ZCTA5 11752","9204","707",
"860Z200US11753","ZCTA5 11753","12435","1037",
"860Z200US11754","ZCTA5 11754","17565","992",
"860Z200US11755","ZCTA5 11755","12144","500",
"860Z200US11756","ZCTA5 11756","42665","2190",
"860Z200US11757","ZCTA5 11757","44413","1402",
"860Z200US11758","ZCTA5 11758","54375","2201",
"860Z200US11762","ZCTA5 11762","22487","571",
"860Z200US11763","ZCTA5 11763","29973","2609",
"860Z200US11764","ZCTA5 11764","12551","1483",
"860Z200US11765","ZCTA5 11765","683","143",
"860Z200US11766","ZCTA5 11766","10750","1200",
"860Z200US11767","ZCTA5 11767","14964","1363",
"860Z200US11768","ZCTA5 11768","22030","1182",
"860Z200US11769","ZCTA5 11769","8935","1023",
"860Z200US11770","ZCTA5 11770","77","62",
"860Z200US11771","ZCTA5 11771","10908","1226",
"860Z200US11772","ZCTA5 11772","45023","2061",
"860Z200US11776","ZCTA5 11776","22808","1924",
"860Z200US11777","ZCTA5 11777","9396","330",
"860Z200US11778","ZCTA5 11778","12390","1297",
"860Z200US11779","ZCTA5 11779","38206","2145",
"860Z200US11780","ZCTA5 11780","15018","960",
"860Z200US11782","ZCTA5 11782","14405","1193",
"860Z200US11783","ZCTA5 11783","21127","1436",
"860Z200US11784","ZCTA5 11784","26244","1687",
